iter	Passed	Remaining
826	11636	2434
827	11648	2419
828	11659	2404
829	11669	2390
830	11679	2375
831	11690	2360
832	11699	2345
833	11708	2330
834	11717	2315
835	11727	2300
836	11740	2286
837	11752	2271
838	11770	2258
839	11783	2244
840	11796	2230
841	11809	2216
842	11822	2201
843	11831	2186
844	11841	2172
845	11850	2157
846	11863	2142
847	11873	2128
848	11882	2113
849	11891	2098
850	11900	2083
851	11908	2068
852	11917	2053
853	11925	2038
854	11935	2024
855	11944	2009
856	11954	1994
857	11967	1980
858	11978	1966
859	11988	1951
860	11997	1936
861	12009	1922
862	12020	1908
863	12029	1893
864	12039	1878
865	12051	1864
866	12063	1850
867	12072	1835
868	12082	1821
869	12090	1806
870	12099	1792
871	12107	1777
872	12116	1762
873	12125	1748
874	12134	1733
875	12142	1718
876	12157	1705
877	12167	1690
878	12176	1676
879	12185	1661
880	12194	1647
881	12203	1632
882	12213	1618
883	12221	1603
884	12230	1589
885	12240	1574
886	12257	1561
887	12276	1548
888	12292	1534
889	12305	1520
890	12314	1506
891	12323	1492
892	12331	1477
893	12345	1463
894	12357	1449
895	12372	1436
896	12381	1421
897	12390	1407
898	12399	1393
899	12407	1378
900	12415	1364
901	12426	1350
902	12435	1335
903	12445	1321
904	12455	1307
905	12470	1293
906	12479	1279
907	12489	1265
908	12498	1251
909	12506	1236
910	12516	1222
911	12524	1208
912	12532	1194
913	12542	1180
914	12553	1166
915	12563	1152
916	12574	1138
917	12582	1123
918	12590	1109
919	12598	1095
920	12608	1081
921	12617	1067
922	12625	1053
923	12634	1039
924	12643	1025
925	12653	1011
926	12662	997
927	12674	983
928	12684	969
929	12693	955
930	12704	941
931	12717	927
932	12726	913
933	12738	900
934	12756	886
935	12771	873
936	12788	859
937	12806	846
938	12817	832
939	12826	818
940	12835	804
941	12846	791
942	12857	777
943	12866	763
944	12877	749
945	12887	735
946	12896	721
947	12905	707
948	12913	693
949	12922	680
950	12931	666
951	12943	652
952	12957	639
953	12968	625
954	12977	611
955	12988	597
956	12999	584
957	13010	570
958	13019	556
959	13030	542
960	13113	532
961	13226	522
962	13283	510
963	13321	497
964	13362	484
965	13393	471
966	13419	457
967	13435	444
968	13460	430
969	13472	416
970	13489	402
971	13511	389
972	13525	375
973	13543	361
974	13565	347
975	13577	333
976	13592	319
977	13610	306
978	13624	292
979	13635	278
980	13647	264
981	13665	250
982	13679	236
983	13689	222
984	13705	208
985	13723	194
986	13740	180
987	13768	167
988	13787	153
989	13805	139
990	13829	125
991	13848	111
992	13865	97
993	13880	83
994	13895	69
995	13904	55
996	13915	41
997	13927	27
998	13944	13
999	13979	0
